Date,Open,High,Low,Close
2019/03/27,370.0,387.0,362.0,378.0
2019/03/28,375.0,391.5,374.0,390.5
2019/03/29,393.0,398.0,390.0,392.5
2019/04/01,396.5,397.5,380.5,381.0
2019/04/02,381.0,383.5,371.5,381.5
2019/04/03,379.0,384.0,376.5,378.0
2019/04/08,380.5,381.0,341.0,354.5
2019/04/09,349.0,353.0,337.0,350.0
2019/04/10,348.0,362.5,345.0,357.5
2019/04/11,352.0,358.5,349.5,352.5
2019/04/12,354.5,356.5,349.5,355.5
2019/04/15,359.5,360.0,352.5,355.0
2019/04/16,357.0,366.5,356.0,364.0
2019/04/17,365.0,368.5,361.5,363.0
2019/04/18,365.0,366.0,346.0,348.0
2019/04/19,348.0,351.5,336.0,342.0
2019/04/22,341.0,341.0,325.0,328.0
2019/04/23,326.5,326.5,313.0,316.0
2019/04/24,316.0,333.5,308.5,330.0
2019/04/25,327.0,327.0,320.0,325.0
2019/04/26,324.5,324.5,315.5,316.0
2019/04/29,320.5,327.5,318.0,318.5
2019/04/30,318.5,323.0,316.0,321.5
2019/05/02,324.0,331.5,321.5,331.0
2019/05/03,347.5,358.0,339.0,358.0
2019/05/06,352.0,361.0,342.0,358.5
2019/05/07,358.5,370.0,358.5,368.5
2019/05/08,363.0,374.0,360.0,371.5
2019/05/09,374.0,374.5,351.0,354.0
2019/05/10,356.0,367.0,353.0,357.5
2019/05/13,352.0,357.5,341.5,345.0
2019/05/14,335.0,348.0,327.5,342.5
2019/05/15,342.5,352.0,341.5,342.0
2019/05/16,344.0,346.5,337.0,337.0
2019/05/17,340.5,343.0,323.0,323.5
2019/05/20,326.0,333.0,321.0,327.0
2019/05/21,327.0,358.0,325.0,358.0
2019/05/22,365.0,374.0,364.0,370.0
2019/05/23,370.5,370.5,354.0,361.0
2019/05/24,360.0,371.0,360.0,364.0
2019/05/27,368.0,369.0,360.0,362.5
2019/05/28,365.0,369.0,358.5,365.0
2019/05/29,361.0,364.5,355.5,358.0
2019/05/30,358.0,362.0,355.5,360.0
2019/05/31,335.0,338.5,324.0,327.0
2019/06/03,311.5,323.0,300.5,323.0
2019/06/04,315.0,318.0,308.0,308.5
2019/06/05,322.0,327.0,315.5,322.0
2019/06/06,318.5,326.0,315.5,324.5
2019/06/10,354.5,355.0,342.5,355.0
2019/06/11,350.0,357.0,345.5,350.0
2019/06/12,353.0,353.5,347.0,349.5
2019/06/13,351.5,351.5,341.5,344.0
2019/06/14,344.0,344.0,333.5,334.5
2019/06/17,335.0,338.0,331.0,332.0
2019/06/18,332.0,332.0,325.0,325.5
2019/06/19,334.0,343.0,331.0,341.5
2019/06/20,339.0,349.0,336.0,349.0
2019/06/21,350.0,354.5,345.5,350.0
2019/06/24,348.0,350.0,343.0,347.0
2019/06/25,348.0,350.0,346.5,347.5
2019/06/26,349.5,360.0,349.5,352.5
2019/06/27,354.0,357.0,351.0,353.5
2019/06/28,354.0,354.5,350.5,353.5
2019/07/01,358.0,361.0,355.0,356.0
2019/07/02,358.5,358.5,351.5,351.5
2019/07/03,353.0,353.0,348.0,351.5
2019/07/04,352.0,368.5,352.0,366.5
2019/07/05,368.0,369.5,363.0,367.0
