Date,Open,High,Low,Close
2007/04/11,104.35001,104.39,104.35001,104.35001
2007/04/12,104.42,104.42,104.35001,104.42
2007/04/13,104.39,104.49001,104.23,104.23
2007/04/16,104.27,104.27,104.1458,104.19
2007/04/17,104.14999,104.39999,104.14,104.14
2007/04/18,104.19,104.27,104.14999,104.17
2007/04/19,104.2,104.57001,104.06,104.53
2007/04/20,104.53999,104.53999,104.45,104.466
2007/04/23,104.59,104.66,104.45,104.53
2007/04/24,104.59,105.31,104.42,105.25
2007/04/25,105.28,105.41,105.28,105.41
2007/04/26,105.42999,105.60001,105.28999,105.60001
2007/04/27,105.50999,105.60001,105.50999,105.60001
2007/04/30,105.56,105.63,105.33,105.61
2007/05/01,105.27,105.42999,105.27,105.33
2007/05/02,105.35001,105.39,105.2,105.28999
2007/05/03,105.37,105.48,105.2,105.3
2007/05/04,105.35001,105.44,105.21001,105.42999
2007/05/07,105.32001,105.42,105.3,105.42
2007/05/08,105.53999,105.55,105.446,105.5
2007/05/09,105.59,105.60001,105.16,105.22
2007/05/10,105.7,105.81,105.50999,105.60001
2007/05/11,105.64,105.78,105.56,105.66
2007/05/14,105.69,105.7,105.55,105.64999
2007/05/15,105.7,105.92999,105.57001,105.57001
2007/05/16,105.83,105.86,105.82001,105.85001
2007/05/17,105.89,105.92999,105.69,105.82001
2007/05/18,105.95,105.95,105.85001,105.8501
2007/05/21,105.94,105.96001,105.85001,105.95
2007/05/22,106.08,106.09,105.7301,105.96001
2007/05/23,105.92,106.11,105.7,105.88
2007/05/24,106.03999,106.03999,105.85001,105.91
2007/05/25,105.97,106.47,105.8,106.06
2007/05/29,105.7,105.72,105.58,105.64
2007/05/30,105.87,105.94,105.75,105.88
2007/05/31,105.89,105.89,105.64999,105.71001
2007/06/01,105.11,105.13,104.95,105.11
2007/06/04,105.2,105.22,105.02,105.2
2007/06/05,105.21001,105.21001,105.05,105.05
2007/06/06,105.0,105.06,104.8801,104.92
2007/06/07,104.74001,104.74001,104.2,104.42999
2007/06/08,104.21001,104.27,103.9201,104.14999
2007/06/11,103.89999,104.07001,103.6001,103.92999
2007/06/12,103.77,103.78,103.07001,103.39999
2007/06/13,103.63,103.81,102.87,103.58
2007/06/14,103.34,103.66,103.16,103.66
2007/06/15,103.5,103.67999,103.5,103.64
2007/06/18,103.91,103.91,103.39999,103.7
2007/06/19,103.84,103.84,103.36,103.83
2007/06/20,103.84,103.84,102.9101,102.9101
2007/06/21,103.0,103.42999,103.0,103.10001
2007/06/22,103.22,103.35989,102.84,103.3
2007/06/25,103.3,103.34,102.64999,102.7
2007/06/26,102.94,103.19,102.7,103.0
2007/06/27,102.78999,102.8,102.48,102.64
2007/06/28,102.55,102.64,101.92999,102.10001
2007/06/29,102.10001,102.5,101.81,101.81
2007/07/02,101.7,102.27,101.39999,102.0
2007/07/03,101.89999,101.89999,101.60001,101.81
2007/07/05,101.85001,101.86,100.98,101.44
2007/07/06,101.42999,101.78999,101.11011,101.55
2007/07/09,101.42999,101.98,101.39,101.86
2007/07/10,101.48,101.75,101.0,101.59
