Date,Open,High,Low,Close
2006/07/21,0.787,0.79699999,0.759,0.79400003
2006/07/24,0.78799999,0.824,0.78799999,0.824
2006/07/25,0.82300001,0.84899998,0.81999999,0.84899998
2006/07/26,0.83499998,0.86299998,0.82499999,0.83899999
2006/07/27,0.82499999,0.833,0.81900001,0.829
2006/07/28,0.82800001,0.847,0.81300002,0.83399999
2006/07/31,0.838,0.84200001,0.81999999,0.83899999
2006/08/01,0.84200001,0.85799998,0.83600003,0.85399997
2006/08/02,0.83999997,0.84500003,0.815,0.84399998
2006/08/03,0.83200002,0.83999997,0.81900001,0.829
2006/08/04,0.82499999,0.83499998,0.81900001,0.83399999
2006/08/07,0.79699999,0.81199998,0.78500003,0.80900002
2006/08/08,0.80199999,0.81900001,0.79500002,0.81900001
2006/08/09,0.79500002,0.829,0.79299998,0.829
2006/08/10,0.815,0.85699999,0.80500001,0.84399998
2006/08/11,0.81,0.83700001,0.79000002,0.81400001
2006/08/14,0.815,0.83399999,0.81,0.83399999
2006/08/15,0.83200002,0.83399999,0.815,0.83399999
2006/08/16,0.80699998,0.815,0.79500002,0.80900002
2006/08/17,0.792,0.80400002,0.78299999,0.80400002
2006/08/18,0.80500001,0.81800002,0.79500002,0.80900002
2006/08/21,0.81300002,0.81300002,0.76999998,0.78399998
2006/08/22,0.76300001,0.78299999,0.75099999,0.764
2006/08/23,0.73500001,0.77200001,0.73500001,0.76899999
2006/08/24,0.76700002,0.778,0.76200002,0.77399999
2006/08/25,0.778,0.778,0.64999998,0.68099999
2006/08/28,0.63300002,0.64399999,0.611,0.64399999
2006/08/29,0.63,0.67699999,0.63,0.67400002
2006/08/30,0.67799997,0.67799997,0.63800001,0.65399998
2006/08/31,0.61799997,0.64300001,0.611,0.61900002
2006/09/01,0.61299998,0.63999999,0.61199999,0.61900002
2006/09/04,0.62300003,0.65700001,0.61799997,0.64899999
2006/09/05,0.64999998,0.68099999,0.64499998,0.66900003
2006/09/06,0.68199998,0.69499999,0.653,0.66399997
2006/09/07,0.65799999,0.66399997,0.63800001,0.65399998
2006/09/08,0.66000003,0.68099999,0.64999998,0.67900002
2006/09/11,0.667,0.67500001,0.61000001,0.61400002
2006/09/12,0.59299999,0.634,0.59299999,0.62900001
2006/09/13,0.63499999,0.64499998,0.59299999,0.61000001
2006/09/14,0.61000001,0.61699998,0.60600001,0.61699998
2006/09/15,0.61199999,0.62800002,0.60500002,0.61699998
2006/09/19,0.62,0.64999998,0.62,0.64200002
2006/09/20,0.648,0.66500002,0.648,0.662
2006/09/21,0.66500002,0.68599999,0.65799999,0.67699999
2006/09/22,0.66500002,0.67699999,0.61699998,0.63700002
2006/09/25,0.62199998,0.63200003,0.61500001,0.63200003
2006/09/26,0.63,0.63,0.59200001,0.61199999
2006/09/27,0.625,0.66399997,0.61500001,0.65700001
2006/09/28,0.67000002,0.67500001,0.66100001,0.67199999
2006/09/29,0.67199999,0.68699998,0.65600002,0.68199998
2006/10/02,0.69999999,0.73199999,0.69999999,0.71200001
2006/10/03,0.70300001,0.70499998,0.671,0.68199998
2006/10/04,0.685,0.68599999,0.65700001,0.67699999
2006/10/05,0.66299999,0.69,0.634,0.68699998
2006/10/06,0.70099998,0.71899998,0.66000003,0.68699998
2006/10/10,0.67199999,0.72299999,0.67199999,0.69700003
