Date,Open,High,Low,Close
2002/08/13,1.21700001,1.21700001,1.21700001,1.21700001
2002/08/14,1.18499994,1.18499994,1.18499994,1.18499994
2002/08/15,1.19099998,1.19099998,1.19099998,1.19099998
2002/08/16,1.23500001,1.23500001,1.23500001,1.23500001
2002/08/19,1.27100003,1.27100003,1.27100003,1.27100003
2002/08/20,1.28499997,1.28499997,1.28499997,1.28499997
2002/08/21,1.28199995,1.28199995,1.28199995,1.28199995
2002/08/22,1.296,1.296,1.296,1.296
2002/08/23,1.26400006,1.26400006,1.26400006,1.26400006
2002/08/26,1.24899995,1.24899995,1.24899995,1.24899995
2002/08/27,1.24600005,1.24600005,1.24600005,1.24600005
2002/08/28,1.25999999,1.25999999,1.25999999,1.25999999
2002/08/29,1.25100005,1.25100005,1.25100005,1.25100005
2002/08/30,1.20599997,1.20599997,1.20599997,1.20599997
2002/09/02,1.21399999,1.21399999,1.21399999,1.21399999
2002/09/03,1.18200004,1.18200004,1.18200004,1.18200004
2002/09/04,1.19599998,1.19599998,1.19599998,1.19599998
2002/09/05,1.204,1.204,1.204,1.204
2002/09/06,1.21800005,1.21800005,1.21800005,1.21800005
2002/09/09,1.29100001,1.29100001,1.29100001,1.29100001
2002/09/10,1.32299995,1.32299995,1.32299995,1.32299995
2002/09/11,1.34399998,1.34399998,1.34399998,1.34399998
2002/09/12,1.29900002,1.29900002,1.29900002,1.29900002
2002/09/13,1.27100003,1.27100003,1.27100003,1.27100003
2002/09/16,1.35099995,1.35099995,1.35099995,1.35099995
2002/09/17,1.35399997,1.35399997,1.35399997,1.35399997
2002/09/18,1.35099995,1.35099995,1.35099995,1.35099995
2002/09/19,1.35399997,1.35399997,1.35399997,1.35399997
2002/09/20,1.36800003,1.36800003,1.36800003,1.36800003
2002/09/23,1.39499998,1.39499998,1.39499998,1.39499998
2002/09/24,1.38,1.38,1.38,1.38
2002/09/25,1.37100005,1.37100005,1.37100005,1.37100005
2002/09/26,1.40400004,1.40400004,1.40400004,1.40400004
2002/09/27,1.37600005,1.37600005,1.37600005,1.37600005
2002/09/30,1.34200001,1.34200001,1.34200001,1.34200001
2002/10/01,1.296,1.296,1.296,1.296
2002/10/02,1.33599997,1.33599997,1.33599997,1.33599997
