Date,Open,High,Low,Close
2016/04/27,0.4,0.4,0.4,0.4
2016/04/28,0.395,0.395,0.395,0.395
2016/04/29,0.395,0.395,0.395,0.395
2016/05/02,0.395,0.395,0.395,0.395
2016/05/03,0.395,0.395,0.395,0.395
2016/05/04,0.395,0.395,0.395,0.395
2016/05/05,0.395,0.395,0.395,0.395
2016/05/06,0.4,0.4,0.4,0.4
2016/05/09,0.4,0.4,0.395,0.395
2016/05/10,0.396,0.396,0.396,0.396
2016/05/11,0.396,0.396,0.396,0.396
2016/05/12,0.4,0.4,0.4,0.4
2016/05/13,0.395,0.395,0.395,0.395
2016/05/16,0.395,0.396,0.395,0.396
2016/05/17,0.405,0.405,0.405,0.405
2016/05/18,0.396,0.396,0.396,0.396
2016/05/19,0.396,0.396,0.395,0.395
2016/05/20,0.396,0.396,0.396,0.396
2016/05/23,0.396,0.396,0.39,0.39
2016/05/24,0.39,0.4,0.39,0.4
2016/05/25,0.4,0.4,0.4,0.4
2016/05/26,0.4,0.4,0.4,0.4
2016/05/27,0.395,0.395,0.395,0.395
2016/05/30,0.395,0.405,0.395,0.405
2016/05/31,0.4,0.4,0.4,0.4
2016/06/01,0.39,0.39,0.39,0.39
2016/06/02,0.396,0.396,0.396,0.396
2016/06/03,0.396,0.396,0.39,0.39
2016/06/06,0.39,0.39,0.36,0.36
2016/06/07,0.36,0.36,0.36,0.36
2016/06/08,0.36,0.36,0.36,0.36
2016/06/09,0.36,0.36,0.36,0.36
2016/06/10,0.36,0.36,0.36,0.36
2016/06/13,0.36,0.37,0.36,0.37
2016/06/14,0.36,0.36,0.36,0.36
2016/06/15,0.37,0.37,0.37,0.37
2016/06/16,0.37,0.37,0.37,0.37
2016/06/17,0.365,0.365,0.365,0.365
2016/06/20,0.365,0.365,0.36,0.36
2016/06/21,0.36,0.36,0.36,0.36
2016/06/22,0.365,0.365,0.365,0.365
2016/06/23,0.365,0.365,0.365,0.365
2016/06/24,0.355,0.355,0.355,0.355
2016/06/27,0.355,0.355,0.35,0.35
2016/06/28,0.355,0.355,0.355,0.355
2016/06/29,0.36,0.36,0.36,0.36
2016/06/30,0.35,0.35,0.35,0.35
2016/07/01,0.35,0.35,0.35,0.35
2016/07/04,0.35,0.36,0.35,0.36
2016/07/05,0.36,0.36,0.36,0.36
2016/07/06,0.36,0.36,0.36,0.36
2016/07/07,0.36,0.36,0.36,0.36
2016/07/08,0.36,0.36,0.36,0.36
2016/07/11,0.36,0.36,0.348,0.348
2016/07/12,0.34,0.34,0.34,0.34
2016/07/13,0.34,0.34,0.34,0.34
2016/07/14,0.34,0.34,0.34,0.34
2016/07/15,0.34,0.34,0.34,0.34
2016/07/18,0.34,0.34,0.34,0.34
2016/07/19,0.34,0.34,0.34,0.34
2016/07/20,0.34,0.34,0.34,0.34
2016/07/21,0.34,0.34,0.34,0.34
2016/07/22,0.34,0.34,0.34,0.34
2016/07/25,0.34,0.34,0.34,0.34
2016/07/26,0.34,0.34,0.34,0.34
2016/07/27,0.34,0.34,0.34,0.34
2016/07/28,0.34,0.34,0.34,0.34
2016/07/29,0.35,0.35,0.35,0.35
2016/08/01,0.35,0.35,0.34,0.34
2016/08/02,0.335,0.335,0.335,0.335
2016/08/03,0.34,0.34,0.34,0.34
2016/08/04,0.34,0.34,0.34,0.34
2016/08/05,0.343,0.343,0.343,0.343
2016/08/08,0.343,0.343,0.343,0.343
2016/08/09,0.343,0.343,0.343,0.343
2016/08/10,0.343,0.343,0.343,0.343
2016/08/11,0.34,0.34,0.34,0.34
2016/08/12,0.34,0.34,0.34,0.34
2016/08/15,0.34,0.34,0.34,0.34
2016/08/16,0.34,0.34,0.34,0.34
2016/08/17,0.34,0.34,0.34,0.34
2016/08/18,0.34,0.34,0.34,0.34
2016/08/19,0.34,0.34,0.34,0.34
2016/08/22,0.34,0.34,0.34,0.34
2016/08/23,0.34,0.34,0.34,0.34
2016/08/24,0.34,0.34,0.34,0.34
2016/08/25,0.34,0.34,0.34,0.34
2016/08/26,0.35,0.35,0.35,0.35
2016/08/29,0.35,0.35,0.34,0.34
2016/08/30,0.34,0.34,0.34,0.34
2016/08/31,0.34,0.34,0.34,0.34
2016/09/01,0.34,0.34,0.34,0.34
2016/09/02,0.335,0.335,0.335,0.335
2016/09/05,0.335,0.34,0.335,0.34
2016/09/06,0.34,0.34,0.34,0.34
2016/09/07,0.34,0.34,0.34,0.34
2016/09/08,0.34,0.34,0.34,0.34
2016/09/09,0.34,0.34,0.34,0.34
2016/09/12,0.34,0.34,0.34,0.34
2016/09/13,0.34,0.34,0.34,0.34
2016/09/14,0.33,0.33,0.33,0.33
2016/09/15,0.33,0.33,0.33,0.33
2016/09/16,0.33,0.33,0.33,0.33
2016/09/19,0.33,0.36,0.33,0.36
2016/09/20,0.34,0.34,0.34,0.34
2016/09/21,0.34,0.34,0.34,0.34
2016/09/22,0.34,0.34,0.34,0.34
2016/09/23,0.34,0.34,0.34,0.34
2016/09/26,0.34,0.34,0.34,0.34
2016/09/27,0.34,0.34,0.34,0.34
2016/09/28,0.34,0.34,0.34,0.34
2016/09/29,0.36,0.36,0.36,0.36
2016/09/30,0.305,0.305,0.305,0.305
2016/10/03,0.305,0.305,0.305,0.305
2016/10/04,0.305,0.305,0.305,0.305
2016/10/05,0.305,0.305,0.305,0.305
2016/10/06,0.305,0.305,0.305,0.305
2016/10/07,0.36,0.36,0.36,0.36
2016/10/10,0.36,0.36,0.36,0.36
2016/10/11,0.355,0.355,0.355,0.355
2016/10/12,0.36,0.36,0.36,0.36
2016/10/13,0.3755,0.3759,0.3755,0.3759
2016/10/14,0.3759,0.3759,0.3759,0.3759
2016/10/17,0.3759,0.3783,0.3759,0.3783
2016/10/18,0.53,0.53,0.45,0.45
2016/10/19,0.45,0.45,0.45,0.45
2016/10/20,0.48,0.48,0.48,0.48
2016/10/21,0.48,0.48,0.475,0.475
2016/10/24,0.485,0.485,0.485,0.485
2016/10/25,0.48,0.48,0.48,0.48
2016/10/26,0.485,0.485,0.485,0.485
2016/10/27,0.478,0.478,0.478,0.478
2016/10/28,0.478,0.49,0.478,0.49
2016/10/31,0.49,0.49,0.478,0.478
2016/11/01,0.49,0.49,0.49,0.49
2016/11/02,0.485,0.485,0.485,0.485
2016/11/03,0.49,0.49,0.49,0.49
2016/11/04,0.49,0.49,0.478,0.478
2016/11/07,0.478,0.478,0.478,0.478
2016/11/08,0.48,0.48,0.48,0.48
2016/11/09,0.49,0.49,0.49,0.49
2016/11/10,0.48,0.48,0.48,0.48
2016/11/11,0.48,0.48,0.48,0.48
2016/11/14,0.48,0.48,0.48,0.48
2016/11/15,0.49,0.49,0.49,0.49
2016/11/16,0.48,0.48,0.48,0.48
2016/11/17,0.48,0.48,0.48,0.48
2016/11/18,0.48,0.48,0.48,0.48
2016/11/21,0.49,0.49,0.49,0.49
2016/11/22,0.48,0.48,0.48,0.48
2016/11/23,0.505,0.505,0.505,0.505
2016/11/24,0.565,0.565,0.565,0.565
2016/11/25,0.55,0.55,0.55,0.55
2016/11/28,0.49,0.49,0.49,0.49
2016/11/29,0.49,0.535,0.49,0.535
2016/11/30,0.54,0.54,0.54,0.54
2016/12/01,0.545,0.545,0.545,0.545
2016/12/02,0.545,0.545,0.545,0.545
2016/12/05,0.545,0.545,0.54,0.54
2016/12/06,0.543,0.543,0.543,0.543
2016/12/07,0.543,0.543,0.543,0.543
2016/12/08,0.52,0.52,0.52,0.52
2016/12/09,0.52,0.52,0.52,0.52
2016/12/12,0.52,0.53,0.52,0.53
2016/12/13,0.52,0.52,0.52,0.52
2016/12/14,0.55,0.55,0.55,0.55
2016/12/15,0.56,0.56,0.56,0.56
2016/12/16,0.56,0.57,0.56,0.57
2016/12/19,0.57,0.58,0.57,0.58
2016/12/20,0.57,0.57,0.57,0.57
2016/12/21,0.5703,0.58,0.5703,0.58
2016/12/22,0.58,0.58,0.58,0.58
2016/12/23,0.58,0.58,0.58,0.58
2016/12/26,0.58,0.58,0.58,0.58
2016/12/27,0.58,0.58,0.58,0.58
2016/12/28,0.6347,0.6348,0.615,0.6348
2016/12/29,0.7182,0.7182,0.7166,0.7166
2016/12/30,0.7034,0.7034,0.7034,0.7034
2017/01/02,0.7034,0.7034,0.7034,0.7034
2017/01/03,0.6988,0.7005,0.6988,0.7005
2017/01/04,0.6847,0.6847,0.6561,0.6561
2017/01/05,0.6572,0.6572,0.6495,0.6495
2017/01/06,0.6604,0.6604,0.6602,0.6603
2017/01/09,0.5976,0.5976,0.5839,0.5839
2017/01/10,0.6028,0.6028,0.5762,0.5762
2017/01/11,0.5669,0.5831,0.5669,0.5831
2017/01/12,0.5563,0.5565,0.5563,0.5565
2017/01/13,0.5565,0.5565,0.5326,0.5326
2017/01/16,0.5593,0.565,0.5593,0.565
2017/01/17,0.565,0.565,0.565,0.565
2017/01/18,0.565,0.565,0.56,0.56
2017/01/19,0.56,0.56,0.56,0.56
2017/01/20,0.56,0.562,0.56,0.562
2017/01/23,0.562,0.562,0.562,0.562
2017/01/24,0.562,0.562,0.562,0.562
2017/01/25,0.562,0.562,0.562,0.562
2017/01/26,0.562,0.562,0.562,0.562
2017/01/27,0.562,0.562,0.562,0.562
2017/01/30,0.562,0.562,0.562,0.562
2017/01/31,0.562,0.562,0.562,0.562
2017/02/01,0.562,0.562,0.562,0.562
2017/02/02,0.565,0.565,0.565,0.565
2017/02/03,0.565,0.57,0.565,0.57
2017/02/06,0.56,0.56,0.56,0.56
2017/02/07,0.565,0.565,0.565,0.565
2017/02/08,0.565,0.565,0.565,0.565
2017/02/09,0.56,0.56,0.56,0.56
2017/02/10,0.56,0.56,0.56,0.56
2017/02/13,0.565,0.565,0.565,0.565
2017/02/14,0.555,0.555,0.555,0.555
2017/02/15,0.565,0.565,0.565,0.565
2017/02/16,0.565,0.565,0.565,0.565
2017/02/17,0.565,0.565,0.56,0.56
2017/02/20,0.55,0.55,0.55,0.55
2017/02/21,0.56,0.56,0.56,0.56
2017/02/22,0.57,0.57,0.57,0.57
2017/02/23,0.565,0.565,0.565,0.565
2017/02/24,0.565,0.565,0.56,0.56
2017/02/27,0.56,0.56,0.56,0.56
2017/02/28,0.56,0.56,0.56,0.56
