Date,Open,High,Low,Close
1986/05/20,909.26,909.26,909.26,909.26
1986/05/21,915.96,915.96,915.96,915.96
1986/05/22,923.5,923.5,923.5,923.5
1986/05/23,927.81,927.81,927.81,927.81
1986/05/26,936.9,936.9,936.9,936.9
1986/05/27,939.98,939.98,939.98,939.98
1986/05/28,943.82,943.82,943.82,943.82
1986/05/29,943.93,943.93,943.93,943.93
1986/05/30,946.19,946.19,946.19,946.19
1986/06/02,954.24,954.24,954.24,954.24
1986/06/03,957.37,957.37,957.37,957.37
1986/06/04,958.95,958.95,958.95,958.95
1986/06/05,957.53,957.53,957.53,957.53
1986/06/06,970.83,970.83,970.83,970.83
1986/06/09,980.91,980.91,980.91,980.91
1986/06/10,981.14,981.14,981.14,981.14
1986/06/11,981.14,981.14,981.14,981.14
1986/06/12,981.04,981.04,981.04,981.04
1986/06/13,985.4,985.4,985.4,985.4
1986/06/16,990.92,990.92,990.92,990.92
1986/06/17,985.1,985.1,985.1,985.1
1986/06/18,981.47,981.47,981.47,981.47
1986/06/19,986.72,986.72,986.72,986.72
1986/06/20,986.1,986.1,986.1,986.1
1986/06/23,986.1,986.1,986.1,986.1
1986/06/24,963.98,963.98,963.98,963.98
1986/06/25,971.92,971.92,971.92,971.92
1986/06/26,975.38,975.38,975.38,975.38
1986/06/27,965.24,965.24,965.24,965.24
1986/06/30,955.21,955.21,955.21,955.21
1986/07/01,955.21,955.21,955.21,955.21
1986/07/02,965.54,965.54,965.54,965.54
1986/07/03,963.93,963.93,963.93,963.93
1986/07/04,970.1,970.1,970.1,970.1
1986/07/07,983.03,983.03,983.03,983.03
1986/07/08,977.46,977.46,977.46,977.46
1986/07/09,988.09,988.09,988.09,988.09
1986/07/10,987.36,987.36,987.36,987.36
1986/07/11,995.99,995.99,995.99,995.99
1986/07/14,977.67,977.67,977.67,977.67
1986/07/15,981.74,981.74,981.74,981.74
1986/07/16,982.84,982.84,982.84,982.84
1986/07/17,972.11,972.11,972.11,972.11
1986/07/18,971.63,971.63,971.63,971.63
1986/07/21,972.13,972.13,972.13,972.13
1986/07/22,970.36,970.36,970.36,970.36
1986/07/23,978.15,978.15,978.15,978.15
1986/07/24,984.95,984.95,984.95,984.95
1986/07/25,986.96,986.96,986.96,986.96
1986/07/28,984.11,984.11,984.11,984.11
1986/07/29,972.01,972.01,972.01,972.01
1986/07/30,963.9,963.9,963.9,963.9
1986/07/31,935.83,935.83,935.83,935.83
1986/08/01,908.04,908.04,908.04,908.04
1986/08/04,914.39,914.39,914.39,914.39
1986/08/05,898.75,898.75,898.75,898.75
1986/08/06,879.55,879.55,879.55,879.55
1986/08/07,889.73,889.73,889.73,889.73
1986/08/08,892.26,892.26,892.26,892.26
1986/08/11,894.62,894.62,894.62,894.62
1986/08/12,908.03,908.03,908.03,908.03
1986/08/13,903.3,903.3,903.3,903.3
1986/08/14,901.38,901.38,901.38,901.38
1986/08/15,893.36,893.36,893.36,893.36
1986/08/18,868.68,868.68,868.68,868.68
1986/08/19,884.38,884.38,884.38,884.38
1986/08/20,883.37,883.37,883.37,883.37
1986/08/21,888.51,888.51,888.51,888.51
1986/08/22,880.51,880.51,880.51,880.51
1986/08/25,883.72,883.72,883.72,883.72
1986/08/26,877.92,877.92,877.92,877.92
1986/08/27,890.83,890.83,890.83,890.83
1986/08/28,900.55,900.55,900.55,900.55
1986/08/29,906.22,906.22,906.22,906.22
1986/09/01,912.09,912.09,912.09,912.09
1986/09/02,907.77,907.77,907.77,907.77
1986/09/03,908.99,908.99,908.99,908.99
1986/09/04,916.18,916.18,916.18,916.18
1986/09/05,920.9,920.9,920.9,920.9
1986/09/08,928.83,928.83,928.83,928.83
1986/09/09,924.68,924.68,924.68,924.68
1986/09/10,913.39,913.39,913.39,913.39
1986/09/11,927.13,927.13,927.13,927.13
1986/09/12,925.93,925.93,925.93,925.93
1986/09/15,911.27,911.27,911.27,911.27
1986/09/16,906.81,906.81,906.81,906.81
1986/09/17,910.16,910.16,910.16,910.16
1986/09/18,910.16,910.16,910.16,910.16
1986/09/19,910.16,910.16,910.16,910.16
1986/09/22,921.31,921.31,921.31,921.31
1986/09/23,925.46,925.46,925.46,925.46
1986/09/24,933.65,933.65,933.65,933.65
1986/09/25,936.32,936.32,936.32,936.32
1986/09/26,938.33,938.33,938.33,938.33
1986/09/29,937.94,937.94,937.94,937.94
1986/09/30,947.11,947.11,947.11,947.11
