,symbol,symbols_chines
0,2330.TW,台積電
1,2308.TW,台達電
2,2454.TW,聯發科
3,2317.TW,鴻海
4,3711.TW,日月光投控
5,2383.TW,台光電
6,2382.TW,廣達
7,2881.TW,富邦金
8,2345.TW,智邦
9,2882.TW,國泰金
10,2412.TW,中華電
11,2891.TW,中信金
12,3037.TW,欣興
13,2360.TW,致茂
14,3017.TW,奇鋐
15,2303.TW,聯電
16,7769.TW,鴻勁
17,6669.TW,緯穎
18,1303.TW,南亞
19,3653.TW,健策
20,2885.TW,元大金
21,2327.TW,國巨*
22,2408.TW,南亞科
23,2887.TW,台新新光金
24,2368.TW,金像電
25,2886.TW,兆豐金
26,2884.TW,玉山金
27,6505.TW,台塑化
28,2880.TW,華南金
29,2890.TW,永豐金
30,8046.TW,南電
31,3665.TW,貿聯-KY
32,2357.TW,華碩
33,3443.TW,創意
34,3231.TW,緯創
35,2603.TW,長榮
36,3045.TW,台灣大
37,1216.TW,統一
38,2892.TW,第一金
39,2344.TW,華邦電
40,2301.TW,光寶科
41,5880.TW,合庫金
42,6515.TW,穎崴
43,2883.TW,凱基金
44,3008.TW,大立光
45,2059.TW,川湖
46,4904.TW,遠傳
47,1301.TW,台塑
48,2449.TW,京元電子
49,2395.TW,研華
50,2002.TW,中鋼
51,2313.TW,華通
52,4958.TW,臻鼎-KY
53,1326.TW,台化
54,3036.TW,文曄
55,2207.TW,和泰車
56,3533.TW,嘉澤
57,3661.TW,世芯-KY
58,1519.TW,華城
59,2379.TW,瑞昱
60,2801.TW,彰銀
61,2337.TW,旺宏
62,3034.TW,聯詠
63,1590.TW,亞德客-KY
64,6446.TW,藥華藥
65,2912.TW,統一超
66,4938.TW,和碩
67,6770.TW,力積電
68,3044.TW,健鼎
69,1802.TW,台玻
70,2615.TW,萬海
71,3481.TW,群創
72,3189.TW,景碩
73,5871.TW,中租-KY
74,2404.TW,漢唐
75,5876.TW,上海商銀
76,2618.TW,長榮航
77,1101.TW,台泥
78,2376.TW,技嘉
79,2609.TW,陽明
80,6139.TW,亞翔
81,6442.TW,光聖
82,6919.TW,康霈*
83,3702.TW,大聯大
84,2356.TW,英業達
85,2834.TW,臺企銀
86,6239.TW,力成
87,2409.TW,友達
88,1504.TW,東元
89,1605.TW,華新
90,1402.TW,遠東新
91,2347.TW,聯強
92,6789.TW,采鈺
93,2324.TW,仁寶
94,7750.TW,新代
95,6415.TW,矽力*-KY
96,2474.TW,可成
97,6805.TW,富世達
98,6285.TW,啟��
99,8210.TW,勤誠
