Date,Open,High,Low,Close
1983/10/03,39.42,39.42,39.42,39.42
1983/10/04,39.42,39.42,39.42,39.42
1983/10/05,39.42,39.42,39.42,39.42
1983/10/06,39.42,39.42,39.42,39.42
1983/10/07,39.42,39.42,39.42,39.42
1983/10/11,39.42,39.42,39.42,39.42
1983/10/12,39.42,39.42,39.42,39.42
1983/10/13,39.42,39.42,39.42,39.42
1983/10/14,39.42,39.42,39.42,39.42
1983/10/17,39.42,39.42,39.42,39.42
1983/10/18,39.42,39.42,39.42,39.42
1983/10/19,39.42,39.42,39.42,39.42
1983/10/20,39.42,39.42,39.42,39.42
1983/10/21,39.42,39.42,39.42,39.42
1983/10/24,39.42,39.42,39.42,39.42
1983/10/25,39.42,39.42,39.42,39.42
1983/10/26,39.42,39.42,39.42,39.42
1983/10/27,39.42,39.42,39.42,39.42
1983/10/28,39.42,39.42,39.42,39.42
1983/10/31,39.42,39.42,39.42,39.42
1983/11/01,39.42,39.42,39.42,39.42
1983/11/02,39.42,39.42,39.42,39.42
1983/11/03,39.42,39.42,39.42,39.42
1983/11/04,38.66,38.66,38.66,38.66
1983/11/07,38.66,38.66,38.66,38.66
1983/11/09,38.66,38.66,38.66,38.66
1983/11/10,38.66,38.66,38.66,38.66
1983/11/14,38.66,38.66,38.66,38.66
1983/11/15,38.66,38.66,38.66,38.66
1983/11/16,38.66,38.66,38.66,38.66
1983/11/17,38.66,38.66,38.66,38.66
1983/11/18,38.66,38.66,38.66,38.66
1983/11/21,38.66,38.66,38.66,38.66
1983/11/22,38.66,38.66,38.66,38.66
1983/11/23,38.66,38.66,38.66,38.66
1983/11/25,38.66,38.66,38.66,38.66
1983/11/28,38.66,38.66,38.66,38.66
1983/11/29,38.66,38.66,38.66,38.66
1983/11/30,38.66,38.66,38.66,38.66
1983/12/01,38.66,38.66,38.66,38.66
1983/12/02,38.66,38.66,38.66,38.66
1983/12/05,38.66,38.66,38.66,38.66
1983/12/06,38.66,38.66,38.66,38.66
1983/12/07,38.66,38.66,38.66,38.66
1983/12/08,38.66,38.66,38.66,38.66
1983/12/09,38.66,38.66,38.66,38.66
1983/12/12,38.66,38.66,38.66,38.66
1983/12/13,40.2,40.2,40.2,40.2
1983/12/14,40.2,40.2,40.2,40.2
1983/12/15,40.2,40.2,40.2,40.2
1983/12/16,40.2,40.2,40.2,40.2
1983/12/19,40.2,40.2,40.2,40.2
1983/12/20,40.2,40.2,40.2,40.2
1983/12/21,40.2,40.2,40.2,40.2
1983/12/22,40.2,40.2,40.2,40.2
1983/12/23,40.2,40.2,40.2,40.2
1983/12/27,40.2,40.2,40.2,40.2
1983/12/28,40.2,40.2,40.2,40.2
1983/12/29,40.2,40.2,40.2,40.2
1983/12/30,40.2,40.2,40.2,40.2
1984/01/03,40.2,40.2,40.2,40.2
1984/01/04,40.2,40.2,40.2,40.2
1984/01/05,40.2,40.2,40.2,40.2
1984/01/06,40.2,40.2,40.2,40.2
1984/01/09,40.2,40.2,40.2,40.2
1984/01/10,40.2,40.2,40.2,40.2
1984/01/11,40.2,40.2,40.2,40.2
1984/01/12,40.2,40.2,40.2,40.2
1984/01/13,40.2,40.2,40.2,40.2
1984/01/16,40.2,40.2,40.2,40.2
1984/01/17,40.2,40.2,40.2,40.2
1984/01/18,40.2,40.2,40.2,40.2
1984/01/19,40.2,40.2,40.2,40.2
1984/01/20,40.2,40.2,40.2,40.2
1984/01/27,40.23,40.23,40.23,40.23
1984/01/30,40.23,40.23,40.23,40.23
1984/01/31,40.23,40.23,40.23,40.23
1984/02/06,40.23,40.23,40.23,40.23
1984/02/07,40.23,40.23,40.23,40.23
1984/02/08,40.23,40.23,40.23,40.23
1984/02/09,40.23,40.23,40.23,40.23
1984/02/10,40.23,40.23,40.23,40.23
1984/02/14,40.23,40.23,40.23,40.23
1984/02/15,40.23,40.23,40.23,40.23
1984/02/16,40.23,40.23,40.23,40.23
1984/02/17,40.23,40.23,40.23,40.23
1984/02/21,40.23,40.23,40.23,40.23
1984/02/22,40.24,40.24,40.24,40.24
1984/02/23,40.25,40.25,40.25,40.25
1984/02/24,40.26,40.26,40.26,40.26
1984/02/27,40.25,40.25,40.25,40.25
1984/02/28,40.26,40.26,40.26,40.26
1984/02/29,40.22,40.22,40.22,40.22
1984/03/01,40.2,40.2,40.2,40.2
1984/03/02,40.19,40.19,40.19,40.19
1984/03/05,40.18,40.18,40.18,40.18
1984/03/06,40.18,40.18,40.18,40.18
1984/03/07,40.17,40.17,40.17,40.17
1984/03/08,40.15,40.15,40.15,40.15
1984/03/09,40.14,40.14,40.14,40.14
1984/03/12,40.11,40.11,40.11,40.11
1984/03/13,40.1,40.1,40.1,40.1
1984/03/15,40.07,40.07,40.07,40.07
1984/03/16,40.05,40.05,40.05,40.05
1984/03/19,40.04,40.04,40.04,40.04
1984/03/20,40.04,40.04,40.04,40.04
1984/03/21,40.02,40.02,40.02,40.02
1984/03/22,40.0,40.0,40.0,40.0
1984/03/23,39.98,39.98,39.98,39.98
1984/03/26,39.96,39.96,39.96,39.96
