Date,Open,High,Low,Close
2008/06/26,49.92,49.99001,49.34,49.58
2008/06/27,51.45,51.45,49.25999,49.5
2008/06/30,51.72,51.72,49.36,49.53999
2008/07/01,49.13,49.60001,47.74001,49.10001
2008/07/02,49.53999,49.69,48.38,48.38
2008/07/03,48.77,48.81,48.06,48.50999
2008/07/07,48.78,48.8,47.8,48.41
2008/07/08,48.12,48.56,47.1701,48.5
2008/07/09,49.39,49.39,47.89999,47.94
2008/07/10,48.31,48.31,47.60001,47.86301
2008/07/11,48.25,48.25,47.1899,47.64999
2008/07/14,48.8,48.8,47.28,47.49001
2008/07/15,47.07001,47.435,46.3399,46.75999
2008/07/16,46.85001,47.72,46.59,47.72
2008/07/17,48.31,48.52,47.8399,48.334
2008/07/18,48.48,48.55,47.66,48.276
2008/07/21,48.89,48.89,48.28,48.42999
2008/07/22,48.3,48.7,47.98,48.7
2008/07/23,49.39,49.47,48.94009,49.08
2008/07/24,48.98,48.98,47.98,48.0
2008/07/25,48.0,48.21001,47.92,48.21001
2008/07/28,48.5,48.5,46.5,47.44
2008/07/29,47.53999,47.89999,47.44,47.89999
2008/07/30,48.45,48.72009,48.30009,48.7
2008/07/31,48.84,48.84,48.2,48.21001
2008/08/01,48.19,50.02,47.75,47.92999
2008/08/04,48.57001,48.57001,47.23,47.23
2008/08/05,48.69,48.72501,47.37,48.39
2008/08/06,48.55,48.92999,48.23,48.71001
2008/08/07,48.60001,48.60001,47.60001,47.60001
2008/08/08,47.64999,48.25999,47.073,48.23
2008/08/11,48.45,48.64,47.98,48.52
2008/08/12,48.56,48.56,47.6801,47.85001
2008/08/13,47.7,47.7,46.89999,47.32001
2008/08/14,46.72,47.53,46.72,47.53
2008/08/15,47.60001,47.64,46.14,47.49001
2008/08/18,47.95,47.95,46.69,46.7
2008/08/19,46.73,46.73,46.22,46.3
2008/08/20,46.8,46.8,46.35989,46.72
2008/08/21,46.2,47.17999,46.2,47.08
2008/08/22,47.45,47.64999,47.16,47.33099
2008/08/25,46.2,47.14999,46.2,46.46001
2008/08/26,46.235,46.7,46.19,46.7
2008/08/27,46.66,47.05,46.52,46.75951
2008/08/28,47.67,47.75,47.38,47.75
2008/08/29,48.13,48.13,47.28999,47.32001
2008/09/02,47.32001,47.69,46.0,46.0
2008/09/03,46.39999,46.85001,46.16,46.16
2008/09/04,46.45,46.45,44.46001,44.46001
2008/09/05,45.0,45.0,43.67999,44.17
2008/09/08,46.7,46.7,44.95,45.42
2008/09/09,45.78999,45.78999,44.14,44.28999
2008/09/10,44.95,45.0,44.2,44.64999
2008/09/11,43.78999,44.62399,43.616,44.62399
2008/09/12,44.95,45.24001,44.39,45.12
2008/09/15,44.39999,44.85001,43.11,43.26801
2008/09/16,42.75,44.0,42.0,43.99001
2008/09/17,43.39,43.89999,41.58,41.612
2008/09/18,41.00999,43.8,35.85001,43.8
2008/09/19,47.00011,50.60001,45.03011,46.41
2008/09/22,46.39999,46.9799,44.44,44.73
2008/09/23,45.37,46.2,44.0,45.02
2008/09/24,47.0,47.0,43.35001,43.60001
2008/09/25,44.85001,45.35001,43.87,44.84
2008/09/26,43.75,45.55,43.75,45.27
2008/09/29,44.64999,44.64999,39.7601,42.39999
2008/09/30,42.89999,46.0,41.57001,43.00999
2008/10/01,41.59,42.83,41.59,42.38
2008/10/02,42.19,42.45,40.10001,40.10001
2008/10/03,41.60001,41.62,39.75,39.75
2008/10/06,39.60001,39.60001,36.33,37.8499
2008/10/07,39.22,39.22,36.0,36.11
2008/10/08,36.46001,36.5,34.81,35.5538
2008/10/09,36.05,36.16,32.53,33.85001
2008/10/10,32.5,35.10001,30.87,32.78
2008/10/13,38.25,38.25,34.27,37.185
2008/10/14,39.47,39.47,35.69,37.9772
2008/10/15,35.69,36.0,32.71001,33.37
2008/10/16,33.10001,34.17,31.0,34.1588
2008/10/17,33.73,35.0999,33.05,33.83
2008/10/20,34.2,36.2,33.75,36.2
2008/10/21,35.8,35.8,33.83,33.96001
2008/10/22,33.08,33.08,30.989,31.47
2008/10/23,32.0,32.34,30.45,31.39999
2008/10/24,29.98,31.42999,29.0,31.16991
2008/10/27,29.87,30.75,29.3,29.42599
2008/10/28,30.99001,32.59,29.47,31.2
2008/10/29,31.19,33.61481,31.19,33.5
2008/10/30,34.55,34.55,32.7,33.78999
2008/10/31,32.72,34.25,32.64,33.7899
2008/11/03,34.64999,34.69,32.96001,33.81
2008/11/04,34.69,35.73,34.55,35.63
2008/11/05,35.99001,35.99001,33.75,33.75999
2008/11/06,32.14999,33.78,31.72301,31.7699
2008/11/07,32.17,33.3172,32.17,33.3172
2008/11/10,34.28,34.28,32.5,33.01199
2008/11/11,32.0,33.2,31.3506,31.7
2008/11/12,31.11,31.32001,30.11,30.25
2008/11/13,30.0,32.53,29.32961,32.513
2008/11/14,32.5,32.5,30.57001,30.57001
2008/11/17,31.2,31.5,29.0,30.31
2008/11/18,30.34,30.89999,29.41,30.52991
2008/11/19,30.28,30.41,28.5,28.50999
2008/11/20,28.35001,28.8999,26.60001,26.62
2008/11/21,28.00999,28.71001,26.64999,28.71001
2008/11/24,29.47,31.03,29.0,30.2
2008/11/25,31.47,31.535,29.82001,30.50999
2008/11/26,29.64,31.46001,29.64,31.25
2008/11/28,31.48,31.63,31.14999,31.49001
2008/12/01,30.92,30.92,28.871,28.8999
2008/12/02,30.12,30.2816,29.2,30.2816
2008/12/03,29.91,30.89,29.3,30.89
2008/12/04,30.52,30.78999,29.243,29.74001
2008/12/05,29.56,30.69,28.75,30.69
2008/12/08,31.84,32.28,31.31,31.96001
2008/12/09,31.81,32.17799,31.27,31.5
2008/12/10,31.37,32.37,31.37,32.14
2008/12/11,32.14999,32.56,31.44,31.66
2008/12/12,31.50999,32.02,30.8,31.95
2008/12/15,32.50999,32.50999,31.17,31.7
2008/12/16,32.87,33.42999,31.67,33.42999
2008/12/17,33.13,33.58,32.75,33.27
2008/12/18,33.99001,34.66,31.918,32.24001
2008/12/19,32.89999,32.89999,31.85001,32.12
2008/12/22,33.64999,33.64999,31.255,31.7684
2008/12/23,32.94,32.94,31.3,31.48
2008/12/24,30.91,32.17,30.91,31.48
2008/12/26,32.0,32.0,31.48981,31.75
2008/12/29,31.55,32.7,31.36,31.73
2008/12/30,31.96001,32.57001,31.57001,32.56
2008/12/31,32.7,33.25,32.25999,32.98
2009/01/02,32.98,33.97,32.86011,33.87
2009/01/05,34.75,34.75,33.25,33.97
2009/01/06,33.59,34.10001,33.49001,33.85001
2009/01/07,33.85001,33.85001,32.79539,33.10001
2009/01/08,33.00999,33.21001,32.7,32.99001
2009/01/09,32.81,32.81,32.19,32.192
2009/01/12,32.3,32.3,31.17,31.37
2009/01/13,31.37,31.39,30.97,31.10001
2009/01/14,30.98,30.98,29.85201,30.0126
2009/01/15,30.28999,30.81,29.3,30.36
2009/01/16,31.75,31.75,29.99001,30.73
2009/01/20,31.99001,31.99001,28.37,28.47
2009/01/21,28.75999,30.0,28.47,30.0
2009/01/22,30.28999,30.28999,28.77,29.42
2009/01/23,29.25,29.64,28.5,29.46001
2009/01/26,29.52,30.28239,29.33,29.66
2009/01/27,30.12,30.55,29.66,30.23
2009/01/28,31.07001,31.3,30.89,31.16
2009/01/29,30.44,31.00999,29.83,29.83
2009/01/30,30.41,30.644,29.3,29.39999
2009/02/02,29.0,29.60001,28.89,29.35001
2009/02/03,29.91,30.11,29.36,29.92999
2009/02/04,30.0,30.42999,29.65601,29.72
2009/02/05,29.49001,31.02,29.46001,31.02
2009/02/06,30.66,31.20799,30.66,31.2
2009/02/09,31.47,31.49001,30.21001,31.11
2009/02/10,30.89999,30.89999,29.49001,29.66
2009/02/11,30.17999,30.17999,29.35001,29.87
2009/02/12,29.45,29.802,29.0,29.8
2009/02/13,29.71001,30.05,29.48,29.69
2009/02/17,28.66,28.67999,28.00999,28.099
2009/02/18,28.39999,28.39999,27.75,27.92999
2009/02/19,28.25,28.60001,27.73599,27.85001
2009/02/20,27.11,27.8,26.92,27.0
2009/02/23,27.64999,27.69,26.55,26.57001
2009/02/24,26.89,27.74001,26.64999,27.61
2009/02/25,27.55,27.59,26.77,27.21001
2009/02/26,27.52139,27.7,26.856,27.02
2009/02/27,26.77,27.09,26.3,26.60001
